ferramenta,tipo_template,recurso,peso
Escala PELOD,escala,slides,1
Escala PELOD,escala,infografico,1
Escala PELOD,escala,biblioteca,2
Escala PEWS,escala,calculadora,3
Escala PEWS,escala,artigo,1
Escala PEWS,escala,quiz,2
Escala PEWS,escala,guia_bolso,1
Escala PEWS,escala,flashcards,1
Escala PEWS,escala,caso_clinico,2
Escala PEWS,escala,checklist,2
Escala PEWS,escala,slides,1
Escala PEWS,escala,infografico,1
Escala PEWS,escala,biblioteca,2
Escala PRISM,escala,calculadora,3
Escala PRISM,escala,artigo,1
Escala PRISM,escala,quiz,2
Escala PRISM,escala,guia_bolso,1
Escala PRISM,escala,flashcards,1
Escala PRISM,escala,caso_clinico,2
Escala PRISM,escala,checklist,2
Escala PRISM,escala,slides,1
Escala PRISM,escala,infografico,1
Escala PRISM,escala,biblioteca,2
Escala Ramsay,escala,calculadora,3
Escala Ramsay,escala,artigo,1
Escala Ramsay,escala,quiz,2
Escala Ramsay,escala,guia_bolso,1
Escala Ramsay,escala,flashcards,1
Escala Ramsay,escala,caso_clinico,2
Escala Ramsay,escala,checklist,2
Escala Ramsay,escala,slides,1
Escala Ramsay,escala,infografico,1
Escala Ramsay,escala,biblioteca,2
Escala Richmond (RASS),escala,calculadora,3
Escala Richmond (RASS),escala,artigo,1
Escala Richmond (RASS),escala,quiz,2
Escala Richmond (RASS),escala,guia_bolso,1
Escala Richmond (RASS),escala,flashcards,1
Escala Richmond (RASS),escala,caso_clinico,2
Escala Richmond (RASS),escala,checklist,2
Escala Richmond (RASS),escala,slides,1
Escala Richmond (RASS),escala,infografico,1
Escala Richmond (RASS),escala,biblioteca,2
Escala SAPS III,escala,calculadora,3
Escala SAPS III,escala,artigo,1
Escala SAPS III,escala,quiz,2
Escala SAPS III,escala,guia_bolso,1
Escala SAPS III,escala,flashcards,1
Escala SAPS III,escala,caso_clinico,2
Escala SAPS III,escala,checklist,2
Escala SAPS III,escala,slides,1
Escala SAPS III,escala,infografico,1
Escala SAPS III,escala,biblioteca,2
Escala Tinetti (POMA),escala,calculadora,3
Escala Tinetti (POMA),escala,artigo,1
Escala Tinetti (POMA),escala,quiz,2
Escala Tinetti (POMA),escala,guia_bolso,1
Escala Tinetti (POMA),escala,flashcards,1
Escala Tinetti (POMA),escala,caso_clinico,2
Escala Tinetti (POMA),escala,checklist,2
Escala Tinetti (POMA),escala,slides,1
Escala Tinetti (POMA),escala,infografico,1
Escala Tinetti (POMA),escala,biblioteca,2
Escala Wood Downes,escala,calculadora,3
Escala Wood Downes,escala,artigo,1
Escala Wood Downes,escala,quiz,2
Escala Wood Downes,escala,guia_bolso,1
Escala Wood Downes,escala,flashcards,1
Escala Wood Downes,escala,caso_clinico,2
Escala Wood Downes,escala,checklist,2
Escala Wood Downes,escala,slides,1
Escala Wood Downes,escala,infografico,1
Escala Wood Downes,escala,biblioteca,2
Escala Zarit,escala,calculadora,3
Escala Zarit,escala,artigo,1
Escala Zarit,escala,quiz,2
Escala Zarit,escala,guia_bolso,1
Escala Zarit,escala,flashcards,1
Escala Zarit,escala,caso_clinico,2
Escala Zarit,escala,checklist,2
Escala Zarit,escala,slides,1
Escala Zarit,escala,infografico,1
Escala Zarit,escala,biblioteca,2
Escala de Ballard,escala,calculadora,3
Escala de Ballard,escala,artigo,1
Escala de Ballard,escala,quiz,2
Escala de Ballard,escala,guia_bolso,1
Escala de Ballard,escala,flashcards,1
Escala de Ballard,escala,caso_clinico,2
Escala de Ballard,escala,checklist,2
Escala de Ballard,escala,slides,1
