arquivo;backdrop_blur;drop_shadow;blur_pesado;shadow_pesado;font_inter;h1_font_sans;body_font_sans;nunito_preloads_ociosos;imgs_total;imgs_sem_lazy;imgs_sem_alt;imgs_sem_decoding
en\glasgow.html;0;0;0;0;0;1;1;0;0;0;0;0
en\gosnell.html;0;0;0;0;0;1;1;0;0;0;0;0
en\gotejamento.html;0;0;0;0;0;1;1;0;0;0;0;0
en\guia_rapido_dispositivos.html;0;0;0;0;0;1;1;0;13;0;0;0
en\hamilton.html;0;0;0;0;0;1;1;0;0;0;0;0
en\hendrich.html;0;0;0;0;0;1;1;0;0;0;0;0
en\humpty.html;0;0;0;0;0;1;1;0;0;0;0;0
en\imc.html;0;0;0;0;0;1;1;0;0;0;0;0
en\index.html;0;0;0;0;0;1;1;0;100;0;0;0
en\instrumentais-cirurgicos.html;0;0;0;0;0;1;1;0;161;0;0;0
en\insulina.html;0;0;0;0;0;1;1;0;1;0;0;0
en\integracoes_calculadora_de_gasometria.html;0;0;0;0;0;1;1;0;2;0;0;0
en\integracoes_classificacao_wifi.html;0;0;0;0;0;1;1;0;0;0;0;0
en\integracoes_metodo_de_capurro.html;0;0;0;0;0;1;1;0;1;0;0;1
en\johns.html;0;0;0;0;0;1;1;0;0;0;0;0
en\jouvet.html;0;0;0;0;0;1;1;0;0;0;0;0
en\katz.html;0;0;0;0;0;1;1;0;0;0;0;0
en\lachs.html;0;0;0;0;0;1;1;0;0;0;0;0
en\lanss.html;0;0;0;0;0;1;1;0;0;0;0;0
en\lawton.html;0;0;0;0;0;1;1;0;0;0;0;0
en\manchester.html;0;0;0;0;0;1;1;0;0;0;0;0
en\mapa-do-site.html;0;0;0;0;0;1;1;0;0;0;0;0
en\medicamentos.html;0;0;0;0;0;1;1;0;0;0;0;0
en\meem.html;0;0;0;0;0;1;1;0;1;0;0;0
en\meows.html;0;0;0;0;0;1;1;0;0;0;0;0
en\metasinternacionais.html;0;0;0;0;0;1;1;0;1;0;0;0
en\missao.html;0;0;0;0;0;1;1;0;0;0;0;0
en\moca.html;0;0;0;0;0;1;1;0;1;0;0;0
en\morse.html;0;0;0;0;0;1;1;0;0;0;0;0
en\nanda.html;0;0;0;0;0;1;1;0;4;0;0;0
en\news.html;0;0;0;0;0;1;1;0;0;0;0;0
en\nihss.html;0;0;0;0;0;1;1;0;0;0;0;0
en\nips.html;0;0;0;0;0;1;1;0;0;0;0;0
en\norton.html;0;0;0;0;0;1;1;0;0;0;0;0
en\objetivo.html;0;0;0;0;0;1;1;0;3;0;0;0
en\ofras.html;0;0;0;0;0;1;1;0;0;0;0;0
en\painad.html;0;0;0;0;0;1;1;0;0;0;0;0
en\pelod.html;0;0;0;0;0;1;1;0;0;0;0;0
en\perroca.html;0;0;0;0;0;1;1;0;0;0;0;0
en\pews.html;0;0;0;0;0;1;1;0;0;0;0;0
