======================================================================
      RELATÓRIO DE LIMPEZA E PADRONIZAÇÃO DE HREFLANG         
======================================================================

Total de arquivos com intervenção: 1512
Total de arquivos já corretos/intactos: 20

Detalhamento por arquivo modificado:
----------------------------------------------------------------------
[PADRONIZADO] en\gestacional.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\glasgow.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\gosnell.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\gotejamento.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\hamilton.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\humpty.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\imc.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\impactodigital.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\index.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\insulina.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\johns.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\jouvet.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\katz.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\lachs.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\lanss.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\lawton.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\mapa-do-site.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\medicamentos.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\meem.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\meows.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\metasinternacionais.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\missao.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\morse.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\nanda.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\news.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\nihss.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\nips.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\norton.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\nossocompromisso.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\objetivo.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\ofras.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\painad.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\pelod.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\perroca.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\pews.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\politica.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\politicadeacessibilidade.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\prism.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\qsofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\rancholosamigos.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\richmond.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\saps.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\silverman.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\sofa.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\tecnologiaverde.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\teorias-de-enfermagem.html | pt-br corrigido para pt-BR
[REMOVIDO] en\teorias-de-enfermagem.html | Órfãos excluídos: sv
[PADRONIZADO] en\termos.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\tinetti.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\vigilancia.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\waterlow.html | pt-br corrigido para pt-BR
[PADRONIZADO] en\zarit.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\aldrete.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\apache.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\apgar.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\asa.html | pt-br corrigido para pt-BR
[PADRONIZADO] es\balancohidrico.html | pt corrigido para pt-BR
[PADRONIZADO] es\ballard.html | pt-br corrigido para pt-BR
