======================================================================
         RELATÓRIO DE OTIMIZAÇÃO DE IMAGENS (SERVE SCALED)            
======================================================================

Imagens redimensionadas e otimizadas: 696
Imagens que já estavam no tamanho correto: 1523
Total de espaço em disco e rede poupado: 342.65 MB

Detalhamento por ficheiro:
----------------------------------------------------------------------
[OTIMIZADO] img\ATENDIMENTO-PRÉ-HOSPITALAR-TRANSPORTE-E-CLASSIFICAÇÃO-DE-RISCOS-1.webp | 1024x1448 -> 800x1131 | Poupou: 30.89 KB
[OTIMIZADO] img\ATENÇÃO AO GOTEJAMENTO.png | 1024x1024 -> 800x800 | Poupou: 280.71 KB
[OTIMIZADO] img\ATENÇÃO AO GOTEJAMENTO.webp | 1024x1024 -> 800x800 | Poupou: 3.74 KB
[OTIMIZADO] img\ATIVIDADES BASICAS DE VIDA DIARIA IDOSO.png | 2048x2048 -> 800x800 | Poupou: 3217.76 KB
[OTIMIZADO] img\ATIVIDADES BASICAS DE VIDA DIARIA IDOSO.webp | 2048x2048 -> 800x800 | Poupou: 157.02 KB
[OTIMIZADO] img\ATIVIDADES DE VIDA DIARIA.png | 2048x2048 -> 800x800 | Poupou: 4504.67 KB
[OTIMIZADO] img\ATIVIDADES DE VIDA DIARIA.webp | 2048x2048 -> 800x800 | Poupou: 280.31 KB
[OTIMIZADO] img\AUSCULTA ENFERMAGEM.png | 1024x1024 -> 800x800 | Poupou: 292.46 KB
[OTIMIZADO] img\AUSCULTA ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: 4.82 KB
[OTIMIZADO] img\avaliacao_da_probabilidade_de_risco10.webp | 1536x1024 -> 800x533 | Poupou: 70.97 KB
[OTIMIZADO] img\avaliacao_do_trabalho12.webp | 2816x1536 -> 800x436 | Poupou: 450.34 KB
[OTIMIZADO] img\avaliacao_ergonomica_preliminar11.webp | 2816x1536 -> 800x436 | Poupou: 327.40 KB
[OTIMIZADO] img\avaliacao_reorganizacao_nr1.webp | 2816x1536 -> 800x436 | Poupou: 195.55 KB
[OTIMIZADO] img\AVALIAÇÃO ANTROPOMÉTRICA.png | 1024x1024 -> 800x800 | Poupou: 289.91 KB
[OTIMIZADO] img\AVALIAÇÃO ANTROPOMÉTRICA.webp | 1024x1024 -> 800x800 | Poupou: 4.75 KB
[OTIMIZADO] img\AVALIAÇÃO SAÚDE.png | 832x1248 -> 800x1200 | Poupou: 92.95 KB
[OTIMIZADO] img\AVALIAÇÃO SAÚDE.webp | 832x1248 -> 800x1200 | Poupou: 2.59 KB
[OTIMIZADO] img\avaliação-secundária-APH.webp | 2816x1536 -> 800x436 | Poupou: 256.34 KB
[OTIMIZADO] img\balancohidrico.png | 2816x1536 -> 800x436 | Poupou: 5104.72 KB
[OTIMIZADO] img\balancohidrico.webp | 2816x1536 -> 800x436 | Poupou: 246.70 KB
[OTIMIZADO] img\BANDEJA CIRÚRGICA.webp | 1000x1000 -> 800x800 | Poupou: 51.28 KB
[OTIMIZADO] img\BILANCIO-IDRICO-IMAGEM.webp | 2848x1504 -> 800x422 | Poupou: 82.17 KB
[OTIMIZADO] img\BISTURI ULTRASÔNICO.webp | 1000x1000 -> 800x800 | Poupou: -0.03 KB
[OTIMIZADO] img\boasvindas_calculadoras-de-enfermagem_site-da-enfermagem.webp | 1280x720 -> 800x450 | Poupou: 3.36 KB
[OTIMIZADO] img\BOLETIM SILVERMAN-ANDERSON AVALIA DIFICULDADE RESPIRATORIA EM RECEM NASCIDOS.png | 1696x2528 -> 800x1192 | Poupou: 5112.81 KB
[OTIMIZADO] img\BOLETIM SILVERMAN-ANDERSON AVALIA DIFICULDADE RESPIRATORIA EM RECEM NASCIDOS.webp | 1696x2528 -> 800x1192 | Poupou: 249.54 KB
[OTIMIZADO] img\bomba-de-infusão.webp | 1000x850 -> 800x680 | Poupou: 3.18 KB
[OTIMIZADO] img\bomba-de-seringa.webp | 1536x588 -> 800x306 | Poupou: 20.11 KB
[OTIMIZADO] img\braden-skala.webp | 1254x1254 -> 800x800 | Poupou: 26.01 KB
[OTIMIZADO] img\brasao-brasil.webp | 990x774 -> 800x625 | Poupou: 12.32 KB
[OTIMIZADO] img\BROCA DE STEINMANN.webp | 950x950 -> 800x800 | Poupou: -1.59 KB
[OTIMIZADO] img\CABO-DE-BISTURI-N3.webp | 2000x2000 -> 800x800 | Poupou: 25.09 KB
[OTIMIZADO] img\CABODEBISTURIDESCARTÁVEL.webp | 2000x2000 -> 800x800 | Poupou: 13.77 KB
[OTIMIZADO] img\CABODEBISTURIN4.webp | 1200x1200 -> 800x800 | Poupou: 3.44 KB
[OTIMIZADO] img\CALCULADORA DE MEDICAMENTO.png | 1024x1024 -> 800x800 | Poupou: 305.33 KB
[OTIMIZADO] img\CALCULADORA DE MEDICAMENTO.webp | 1024x1024 -> 800x800 | Poupou: 4.94 KB
[OTIMIZADO] img\calculadora-de-gasometria-arterial.webp | 1254x1254 -> 800x800 | Poupou: 30.36 KB
[OTIMIZADO] img\calculadorasimagem.webp | 1024x1024 -> 800x800 | Poupou: -0.90 KB
[OTIMIZADO] img\CALCULO DE DOSAGEM DE MEDICAMENTOS ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: -1.53 KB
[OTIMIZADO] img\CALCULO DE DOSAGEM DE MEDICAMENTOS.png | 1024x1024 -> 800x800 | Poupou: 285.53 KB
[OTIMIZADO] img\CALCULO DE DOSAGEM DE MEDICAMENTOS.webp | 1024x1024 -> 800x800 | Poupou: 8.25 KB
[OTIMIZADO] img\CALCULO DE GOTEJAMENTO.png | 1856x2304 -> 800x993 | Poupou: 4169.16 KB
[OTIMIZADO] img\CALCULO DE GOTEJAMENTO.webp | 1856x2304 -> 800x993 | Poupou: 108.37 KB
[OTIMIZADO] img\CALCULO DE MEDICAMENTOS REGRA DE 3.webp | 1696x2528 -> 800x1192 | Poupou: 58.40 KB
[OTIMIZADO] img\CALCULOS DE ENFERMAGEM.png | 1024x1024 -> 800x800 | Poupou: 266.23 KB
[OTIMIZADO] img\CALCULOS DE ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: 5.04 KB
[OTIMIZADO] img\CALENDARIO VACINAL DO ADOLESCENTE.png | 1856x2304 -> 800x993 | Poupou: 4073.03 KB
[OTIMIZADO] img\CALENDARIO VACINAL DO ADOLESCENTE.webp | 1856x2304 -> 800x993 | Poupou: 138.64 KB
[OTIMIZADO] img\CANULA DE TRAQUEOSTOMIA METÁLICA.webp | 1000x1000 -> 800x800 | Poupou: 11.34 KB
[OTIMIZADO] img\capa-word.webp | 1990x2047 -> 800x822 | Poupou: 15.41 KB
[OTIMIZADO] img\capagenogramaeocomapa.webp | 2816x1536 -> 800x436 | Poupou: 133.83 KB
[OTIMIZADO] img\capnógrafo-monitor-multi-parametros.webp | 2368x1792 -> 800x605 | Poupou: 57.92 KB
[OTIMIZADO] img\capurroimagemen.webp | 2816x1504 -> 800x427 | Poupou: 152.97 KB
[OTIMIZADO] img\capurroimagemes.webp | 2816x1536 -> 800x436 | Poupou: 174.61 KB
[OTIMIZADO] img\capurroimagempt.webp | 2816x1536 -> 800x436 | Poupou: 161.63 KB
[OTIMIZADO] img\cardioversor-desfibrilador-hospitalar.webp | 2560x1664 -> 800x520 | Poupou: 269.29 KB
[OTIMIZADO] img\carrinho-de-emergencia-hospital.webp | 2048x2048 -> 800x800 | Poupou: 184.92 KB
[OTIMIZADO] img\carro-de-anestesia.webp | 1760x2400 -> 800x1090 | Poupou: 211.12 KB
[OTIMIZADO] img\CHAPEU DE ENFERMEIRA.png | 1024x1024 -> 800x800 | Poupou: 225.32 KB
[OTIMIZADO] img\CHAPEU DE ENFERMEIRA.webp | 1024x1024 -> 800x800 | Poupou: 2.66 KB
[OTIMIZADO] img\CHECKLIST DE ENFERMAGEM.png | 1024x1024 -> 800x800 | Poupou: 372.16 KB
[OTIMIZADO] img\CHECKLIST DE ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: 6.27 KB
[OTIMIZADO] img\CICLO PDCA HOSPITAL ENFERMAGEM.webp | 2816x1536 -> 800x436 | Poupou: 76.96 KB
[OTIMIZADO] img\ciclo-pdca-plan-do-check-act8.webp | 1024x536 -> 800x418 | Poupou: 2.33 KB
[OTIMIZADO] img\cilindro-oxido-nitroso.webp | 1000x1000 -> 800x800 | Poupou: 6.96 KB
[OTIMIZADO] img\COLA BIOLÓGICA.webp | 810x420 -> 800x414 | Poupou: -15.47 KB
[OTIMIZADO] img\COLONOSCÓPIOS, ENDOSCÓPIOS E BRONCOSCÓPIOS.webp | 1004x1041 -> 800x829 | Poupou: 100.56 KB
[OTIMIZADO] img\coluna-vertebral_anatomia-sistema-osteomuscular.webp | 1920x1080 -> 800x450 | Poupou: 7.63 KB
[OTIMIZADO] img\comite_multidisciplinar_nr1.webp | 2816x1536 -> 800x436 | Poupou: 227.49 KB
[OTIMIZADO] img\como_calcular_o_copsoq.webp | 1024x1536 -> 800x1200 | Poupou: 44.38 KB
[OTIMIZADO] img\COMUNICAÇÃO-HUMANA-E-MARKETING-PESSOAL.webp | 1024x1448 -> 800x1131 | Poupou: 33.96 KB
[OTIMIZADO] img\CONSCIENCIA ENFERMAGEM.png | 1024x1024 -> 800x800 | Poupou: 328.27 KB
[OTIMIZADO] img\CONSCIENCIA ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: 4.80 KB
[OTIMIZADO] img\CONTROLE DE DOR ENFERMAGEM.png | 1024x1024 -> 800x800 | Poupou: 346.66 KB
[OTIMIZADO] img\CONTROLE DE DOR ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: 4.48 KB
[OTIMIZADO] img\CONTROLE HIDRICO ENFERMAGEM.png | 1856x2304 -> 800x993 | Poupou: 4163.39 KB
[OTIMIZADO] img\CONTROLE HIDRICO ENFERMAGEM.webp | 1856x2304 -> 800x993 | Poupou: 104.12 KB
[OTIMIZADO] img\copsoq_logo.webp | 1920x429 -> 800x178 | Poupou: -4.54 KB
[OTIMIZADO] img\CORAÇÃO DESENHO SAUDE.png | 1024x1024 -> 800x800 | Poupou: 270.27 KB
[OTIMIZADO] img\CORAÇÃO DESENHO SAUDE.webp | 1024x1024 -> 800x800 | Poupou: 2.52 KB
[OTIMIZADO] img\cranio-dividido-por-partes_anatomia.webp | 1728x1080 -> 800x500 | Poupou: 16.84 KB
[OTIMIZADO] img\cranio_ossos_sistema-ostemuscular_anatomia-do-cranio.webp | 1920x1080 -> 800x450 | Poupou: 9.77 KB
[OTIMIZADO] img\CRITÉRIOS PARA O ACIONAMENTO DO TIME DE RESPOSTA RÁPIDA.webp | 2816x1536 -> 800x436 | Poupou: 115.15 KB
[OTIMIZADO] img\CUIDADOR DE IDOSO ENFERMAGEM.png | 2048x2048 -> 800x800 | Poupou: 4047.08 KB
[OTIMIZADO] img\CUIDADOR DE IDOSO ENFERMAGEM.webp | 2048x2048 -> 800x800 | Poupou: 223.10 KB
[OTIMIZADO] img\cuidados de enfermagem com idosos.png | 2048x2048 -> 800x800 | Poupou: 3646.13 KB
[OTIMIZADO] img\cuidados de enfermagem com idosos.webp | 2048x2048 -> 800x800 | Poupou: 160.27 KB
[OTIMIZADO] img\CUIDADOS DE ENFERMAGEM DECISAO.png | 1024x1024 -> 800x800 | Poupou: 329.96 KB
[OTIMIZADO] img\CUIDADOS DE ENFERMAGEM DECISAO.webp | 1024x1024 -> 800x800 | Poupou: 7.01 KB
[OTIMIZADO] img\cuidados-pos-pcr.webp | 2816x1536 -> 800x436 | Poupou: 271.59 KB
[OTIMIZADO] img\cuidados_com_idoso.png | 2048x2048 -> 800x800 | Poupou: 7447.04 KB
[OTIMIZADO] img\cuidados_com_idoso.webp | 2048x2048 -> 800x800 | Poupou: 1151.05 KB
[OTIMIZADO] img\CURATIVO ENFERMAGEM.png | 1024x1024 -> 800x800 | Poupou: 239.83 KB
[OTIMIZADO] img\CURATIVO ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: 3.62 KB
[OTIMIZADO] img\CURETA SHARP.webp | 1200x886 -> 800x590 | Poupou: 160.27 KB
[OTIMIZADO] img\DEPRESSAO NA TERCEIRA IDADE.png | 2048x2048 -> 800x800 | Poupou: 5810.04 KB
[OTIMIZADO] img\DEPRESSAO NA TERCEIRA IDADE.webp | 2048x2048 -> 800x800 | Poupou: 865.54 KB
[OTIMIZADO] img\descentralizacao_principio_sus_lei8080.webp | 2048x2048 -> 800x800 | Poupou: 129.87 KB
[OTIMIZADO] img\DESENHO OXIMETRO DE PULSO ENFERMAGEM.png | 1024x1024 -> 800x800 | Poupou: 324.81 KB
[OTIMIZADO] img\DESENHO OXIMETRO DE PULSO ENFERMAGEM.webp | 1024x1024 -> 800x800 | Poupou: 5.68 KB
[OTIMIZADO] img\DESENHO SATURAÇÃO DE OCIGENIO.png | 1024x1024 -> 800x800 | Poupou: 329.68 KB
[OTIMIZADO] img\DESENHO SATURAÇÃO DE OCIGENIO.webp | 1024x1024 -> 800x800 | Poupou: 5.90 KB
[OTIMIZADO] img\DESENHO-NOMEACAO-ESCALA-DE-MOCA.webp | 843x219 -> 800x207 | Poupou: -1.21 KB
[OTIMIZADO] img\dever-profissional-enfermagem.webp | 1024x1536 -> 800x1200 | Poupou: 81.19 KB
[OTIMIZADO] img\dezpassos.webp | 1813x2540 -> 800x1120 | Poupou: 111.31 KB
[OTIMIZADO] img\diagnostico_situacional_absenteismo.webp | 2816x1536 -> 800x436 | Poupou: 250.20 KB
[OTIMIZADO] img\DIMENSIONAMENTO DA EQUIPE DE ENFERMAGEM.png | 1856x2304 -> 800x993 | Poupou: 4174.72 KB
[OTIMIZADO] img\DIMENSIONAMENTO DA EQUIPE DE ENFERMAGEM.webp | 1856x2304 -> 800x993 | Poupou: 160.38 KB
[OTIMIZADO] img\dimensionamento-da-equipe-de-enfermagem.webp | 1254x1254 -> 800x800 | Poupou: 10.07 KB
[OTIMIZADO] img\diretrizesaha2020.jpg | 804x827 -> 800x822 | Poupou: 59.79 KB
[OTIMIZADO] img\diretrizesaha2020.webp | 804x827 -> 800x822 | Poupou: 4.57 KB
[OTIMIZADO] img\diretrizesaharcp2020.webp | 1024x1448 -> 800x1131 | Poupou: 22.90 KB
[OTIMIZADO] img\display-de-um-ventilador-mecanico.webp | 2752x1536 -> 800x446 | Poupou: 228.00 KB
[OTIMIZADO] img\display-monitor-multiparametros-explicativo.webp | 2400x1792 -> 800x597 | Poupou: 187.90 KB
[OTIMIZADO] img\display2-ventilador-mecanico.webp | 2624x1632 -> 800x497 | Poupou: 325.23 KB
[OTIMIZADO] img\DIVERSASLAMINASDEBISTURI.webp | 1000x1000 -> 800x800 | Poupou: 6.71 KB
[OTIMIZADO] img\documentacao_e_integracao_nr1.webp | 2816x1536 -> 800x436 | Poupou: 224.92 KB
[OTIMIZADO] img\DOENÇAS DE NOTIFICAÇÃO COMPULSORIA.png | 2816x1536 -> 800x436 | Poupou: 4833.43 KB
